1	1	14	1	34	五号教学楼	C	5	10
2	1	14	3	34	五号教学楼	C	5	10
3	1	14	4	78	五号教学楼	C	5	10
4	13	18	4	34	五号教学楼	C	5	5
5	13	18	2	56	五号教学楼	C	5	5
6	13	14	4	78	一号教学楼	C	3	4
7	11	12	3	78	一号教学楼	D	2	4
8	11	12	4	56	一号教学楼	D	4	6
9	11	12	3	56	一号教学楼	BC	2	0
10	1	12	4	78	一号教学楼	C	3	4
11	1	12	2	56	一号教学楼	C	3	4
12	1	10	3	78	一号教学楼	D	2	4
13	1	10	5	56	一号教学楼	C	3	4
14	1	10	2	78	一号教学楼	D	4	6
15	1	10	4	56	一号教学楼	D	4	6
16	1	10	1	56	一号教学楼	DE	1	0
17	1	10	3	56	一号教学楼	BC	2	0
18	1	19	1	34	一号教学楼	E	4	5
19	1	19	3	78	一号教学楼	E	2	1
20	1	8	5	34	五号教学楼	C	5	7
21	1	14	4	12	一号教学楼	E	1	2
22	1	14	2	56	一号教学楼	E	1	2
23	1	17	4	34	一号教学楼	E	1	3
24	1	17	2	12	一号教学楼	E	1	3
25	1	19	2	12	一号教学楼	E	2	10
26	1	8	4	56	人文楼	B	2	31
27	11	18	1	12	人文楼	B	6	20
28	3	10	1	12	人文楼	B	6	20
29	11	18	3	12	人文楼	B	6	20
30	3	18	3	78	五号教学楼	C	3	5
31	1	17	5	34	四号教学楼	B	5	2
32	5	19	1	56	四号教学楼	A	6	3
33	6	13	1	78	五号教学楼	C	4	24
34	6	13	5	56	五号教学楼	C	4	24
35	6	13	2	12	五号教学楼	C	4	24
36	6	13	4	78	五号教学楼	C	4	24
37	6	17	5	78	一号教学楼	E	4	1
38	6	17	1	34	五号教学楼	C	4	24
39	1	12	1	34	五号教学楼	C	5	14
40	1	15	2	78	五号教学楼	C	5	2
41	1	10	3	12	五号教学楼	C	5	2
42	1	10	5	34	五号教学楼	C	5	2
43	1	12	2	12	五号教学楼	C	4	25
44	1	12	4	34	五号教学楼	C	4	25
45	1	12	1	12	五号教学楼	C	3	10
46	1	12	4	56	五号教学楼	C	3	10
47	3	5	2	34	五号教学楼	C	4	24
48	3	5	5	56	五号教学楼	C	4	24
49	3	5	4	78	五号教学楼	C	4	24
50	3	5	1	56	五号教学楼	C	4	24
51	3	5	1	78	五号教学楼	C	4	24
52	5	8	5	56	一号教学楼	E	2	5
53	5	8	5	78	一号教学楼	E	2	5
54	9	12	5	56	一号教学楼	E	2	5
55	1	8	2	78	一号教学楼	BC	2	0
56	1	8	4	34	一号教学楼	BC	1	0
57	1	8	4	12	一号教学楼	D	2	1
58	1	8	2	34	一号教学楼	D	2	6
59	1	8	1	34	一号教学楼	B	1	4
60	1	8	3	78	一号教学楼	B	1	4
61	1	16	1	34	一号教学楼	D	2	3
62	6	16	1	56	五号教学楼	C	4	24
63	6	16	2	34	五号教学楼	C	4	24
64	6	16	5	78	五号教学楼	C	4	24
65	6	16	3	78	五号教学楼	C	4	24
66	6	16	5	56	一号教学楼	E	4	1
67	6	16	1	12	五号教学楼	C	4	24
68	1	14	2	34	一号教学楼	BC	2	0
69	1	14	4	12	一号教学楼	BC	2	0
70	1	10	2	34	一号教学楼	F	1	1
71	1	10	4	12	一号教学楼	F	1	1
72	6	18	2	56	一号教学楼	C	5	1
73	6	18	5	12	一号教学楼	C	5	1
74	1	10	2	56	一号教学楼	E	1	7
75	1	10	4	12	一号教学楼	E	1	7
76	3	14	2	12	一号教学楼	F	3	3
77	3	14	5	34	一号教学楼	F	3	3
78	3	18	3	56	一号教学楼	F	3	6
79	1	14	2	34	一号教学楼	BC	2	0
80	1	14	4	56	一号教学楼	BC	2	0
81	5	12	2	34	一号教学楼	C	3	5
82	5	12	4	12	一号教学楼	C	3	5
83	7	14	4	34	五号教学楼	C	5	14
84	7	14	2	12	五号教学楼	C	5	14
85	1	4	4	12	一号教学楼	C	3	5
86	1	4	2	34	一号教学楼	C	3	5
